station-num,station-region,typhoon,date,wind-avg-speed,wind-avg-strength,wind-moment-speed,wind-moment-strength,daily-rain,type
1,基隆,天鵝,2015/8/23,12.3,6,18.4,8,21.2,4
1,基隆,天鵝,2015/8/22,8.3,5,17.1,7,17.3,4
1,基隆,天鵝,2015/8/21,6.2,4,10.8,6,7.5,4
1,基隆,蘇迪勒,2015/8/9,11.9,6,30.9,11,11.7,1
1,基隆,蘇迪勒,2015/8/8,23.6,9,45.7,14,317,3
1,基隆,蘇迪勒,2015/8/7,14.5,7,25.2,10,9.5,3
1,基隆,昌鴻,2015/7/11,12.1,6,25.4,10,0,1
1,基隆,昌鴻,2015/7/10,10,5,19.4,8,42.4,2
1,基隆,蓮花,2015/7/9,9.4,5,15.1,7,29.7,4
1,基隆,蓮花,2015/7/8,6.5,4,15.4,7,5.5,4
1,基隆,蓮花,2015/7/7,5.5,4,11.9,6,0,4
1,基隆,紅霞,2015/5/11,4.6,3,9.7,5,0,4
1,基隆,鳳凰,2014/9/22,8.2,5,16.1,7,46,4
1,基隆,鳳凰,2014/9/21,10.9,6,21.7,9,47.3,2
1,基隆,鳳凰,2014/9/20,6.1,4,11.5,6,0.1,4
1,基隆,麥德姆,2014/7/23,12.7,6,32.4,11,57.9,3
1,基隆,麥德姆,2014/7/22,8.9,5,17.3,8,51.5,4
1,基隆,哈吉貝,2014/6/15,4.5,3,8.1,5,3.7,4
1,基隆,菲特,2013/10/7,6.5,4,11.8,6,1.3,4
1,基隆,菲特,2013/10/6,11.3,6,23.7,9,28.8,4
1,基隆,菲特,2013/10/5,9.8,5,16.7,7,2.9,4
1,基隆,天兔,2013/9/22,8.5,5,20.1,8,47,4
1,基隆,天兔,2013/9/21,10.2,5,21.6,9,43.5,4
1,基隆,天兔,2013/9/20,7.7,4,15.1,7,16.5,4
1,基隆,康芮,2013/8/29,10.9,6,19.8,8,47.4,4
1,基隆,康芮,2013/8/28,6.9,4,11,6,1.9,4
1,基隆,潭美,2013/8/22,5.3,3,8.5,5,53.5,4
1,基隆,潭美,2013/8/21,10.5,5,17.6,8,81.8,2
1,基隆,西馬隆,2013/7/18,5.3,3,11.7,6,0,4
1,基隆,蘇力,2013/7/13,29.8,11,50,15,69.1,3
1,基隆,蘇力,2013/7/12,24.2,9,39,13,6.7,3
1,基隆,杰拉華,2012/9/28,14.4,7,23.6,9,4.8,1
1,基隆,天秤,2012/8/28,6.5,4,14,7,27.5,4
1,基隆,天秤,2012/8/27,4.5,3,9,5,1,4
1,基隆,天秤,2012/8/25,5.6,4,10.4,5,4.3,4
1,基隆,天秤,2012/8/24,6.8,4,14.3,7,6.6,4
1,基隆,天秤,2012/8/23,7.2,4,12.4,6,10,4
1,基隆,天秤,2012/8/22,7.1,4,12.4,6,4.5,4
1,基隆,啟德,2012/8/15,5.5,4,10.1,5,3.2,4
1,基隆,海葵,2012/8/7,10.2,5,17.7,8,1.8,4
1,基隆,蘇拉,2012/8/3,10.5,5,19.9,8,0.3,4
1,基隆,蘇拉,2012/8/2,14.7,7,26.7,10,203.5,3
1,基隆,蘇拉,2012/8/1,19.4,8,32.8,12,56.5,3
1,基隆,蘇拉,2012/7/31,11.8,6,21.5,9,24.6,4
1,基隆,杜蘇芮,2012/6/29,8.9,5,17.1,7,0,4
1,基隆,泰利,2012/6/21,4.8,3,8,5,8.5,4
1,基隆,泰利,2012/6/20,10.3,5,18.4,8,18.6,2
1,基隆,南瑪都,2011/8/31,5.3,3,8.6,5,0,4
1,基隆,南瑪都,2011/8/30,6.8,4,13.9,7,3.4,4
1,基隆,南瑪都,2011/8/29,8.4,5,20.3,8,30.3,2
1,基隆,南瑪都,2011/8/28,9.1,5,19.3,8,30.2,4
1,基隆,梅花,2011/8/6,8.2,5,14.7,7,0,4
1,基隆,梅花,2011/8/5,7.3,4,13.5,6,3.5,4
1,基隆,米雷,2011/6/25,11.1,6,22.6,9,92.3,4
1,基隆,米雷,2011/6/24,8.7,5,15.4,7,14.9,4
1,基隆,桑達,2011/5/28,13.7,6,21.2,9,45.3,4
1,基隆,艾利,2011/5/10,6.4,4,13.8,6,0,4
1,基隆,梅姬,2010/10/23,7.3,4,18.6,8,1.8,4
1,基隆,梅姬,2010/10/22,10.7,5,20.5,8,53,4
1,基隆,凡那比,2010/9/20,11.8,6,26.6,10,0,1
1,基隆,凡那比,2010/9/19,15.7,7,28.8,11,53,3
1,基隆,凡那比,2010/9/18,12.6,6,22.3,9,1.2,4
1,基隆,莫蘭蒂,2010/9/10,6.1,4,12.4,6,0.4,4
1,基隆,萊羅克,2010/9/2,6.6,4,14.6,7,0,4
1,基隆,萊羅克,2010/9/1,8.3,5,18.4,8,0,4
1,基隆,南修,2010/8/31,6.1,4,9.4,5,76,4
1,基隆,芭瑪,2009/10/6,10.8,6,18.2,8,20,4
1,基隆,芭瑪,2009/10/5,11,6,18.6,8,153.5,4
1,基隆,芭瑪,2009/10/4,11.1,6,19.8,8,144,4
1,基隆,莫拉克,2009/8/10,4.2,3,6.8,4,3.5,4
1,基隆,莫拉克,2009/8/9,7.4,4,12.3,6,20.3,4
1,基隆,莫拉克,2009/8/8,12.4,6,31.6,11,27,3
1,基隆,莫拉克,2009/8/7,20,8,30.1,11,32.3,3
1,基隆,莫拉克,2009/8/6,12.8,6,20.1,8,79,4
1,基隆,莫拉菲,2009/7/18,12.4,6,26.9,10,4.6,1
1,基隆,蓮花,2009/6/22,6.7,4,12,6,0,4
1,基隆,蓮花,2009/6/21,4.9,3,8.2,5,0.6,4
1,基隆,薔密,2008/9/29,11,6,19.6,8,94.5,2
1,基隆,薔密,2008/9/28,21,9,34.9,12,178.5,3
1,基隆,薔密,2008/9/27,11.1,6,19.8,8,19.3,4
1,基隆,哈格比,2008/9/23,7.7,4,19.2,8,4.5,4
1,基隆,哈格比,2008/9/22,7.9,4,14.5,7,2.3,4
1,基隆,辛樂克,2008/9/16,7,4,13.5,6,0,4
1,基隆,辛樂克,2008/9/15,9.5,5,20.1,8,122.9,4
1,基隆,辛樂克,2008/9/14,19.3,8,31.5,11,178,3
1,基隆,辛樂克,2008/9/13,23.6,9,39.6,13,152,3
1,基隆,辛樂克,2008/9/12,15.4,7,26.7,10,17.1,3
1,基隆,如麗,2008/8/21,9,5,18.1,8,0,4
1,基隆,如麗,2008/8/20,8.3,5,16.4,7,0,4
1,基隆,鳳凰,2008/7/29,10.6,5,23.9,9,4.3,4
1,基隆,鳳凰,2008/7/28,15.3,7,39.4,13,136.8,3
1,基隆,鳳凰,2008/7/27,13.9,7,23.4,9,4,1
1,基隆,卡玫基,2008/7/18,12.3,6,27.5,10,12.7,1
1,基隆,卡玫基,2008/7/17,10,5,16.1,7,19.6,2
1,基隆,米塔,2007/11/27,14.8,7,22.4,9,125,1
1,基隆,柯羅莎,2007/10/7,5.9,4,11.8,6,34.9,2
1,基隆,柯羅莎,2007/10/6,31.5,11,49.6,15,166.5,3
1,基隆,柯羅莎,2007/10/5,14.8,7,23.6,9,4.4,1
1,基隆,韋帕,2007/9/19,7,4,12.2,6,21,4
1,基隆,韋帕,2007/9/18,14.3,7,26.6,10,96,3
1,基隆,聖帕,2007/8/19,11.2,6,24.7,10,10,1
1,基隆,聖帕,2007/8/18,12.9,6,31.1,11,81,3
1,基隆,聖帕,2007/8/17,9.4,5,15.8,7,13.5,2
1,基隆,梧提,2007/8/9,7.4,4,15.9,7,4.7,4
1,基隆,帕布,2007/8/8,8.5,5,19.8,8,63.5,4
1,基隆,帕布,2007/8/7,6.4,4,13,6,43.7,4
1,基隆,珊珊,2006/9/16,13.1,6,21.8,9,23.5,4
1,基隆,珊珊,2006/9/15,10.2,5,17.1,7,16,4
1,基隆,桑美,2006/8/10,6.8,4,12.3,6,44.5,4
1,基隆,寶發,2006/8/9,9,5,15,7,6.1,4
1,基隆,寶發,2006/8/8,7.2,4,12.3,6,7.5,4
1,基隆,凱米,2006/7/26,5,3,12.5,6,9.1,4
1,基隆,凱米,2006/7/25,10.7,5,24,9,8.7,4
1,基隆,凱米,2006/7/24,7.6,4,18.8,8,9,4
1,基隆,碧利斯,2006/7/15,5,3,10.2,5,3.5,4
1,基隆,碧利斯,2006/7/14,7.7,4,13.6,6,6,4
1,基隆,碧利斯,2006/7/13,15.5,7,28.4,10,35,1
1,基隆,艾維尼,2006/7/9,6.3,4,11.3,6,1,4
1,基隆,艾維尼,2006/7/8,6.7,4,15.8,7,0.4,4
1,基隆,珍珠,2006/5/18,8.2,5,15.8,7,0,4
1,基隆,珍珠,2006/5/17,5.7,4,11.7,6,59.4,4
2,臺北,天鵝,2015/8/23,5.8,4,11.2,6,23,4
2,臺北,天鵝,2015/8/22,7.1,4,15.1,7,4,4
2,臺北,天鵝,2015/8/21,6.3,4,12.9,6,1.9,4
2,臺北,蘇迪勒,2015/8/9,6.9,4,13.2,6,4,4
2,臺北,蘇迪勒,2015/8/8,15.9,7,39.2,13,306.7,3
2,臺北,蘇迪勒,2015/8/7,9.6,5,25.5,10,16.2,3
2,臺北,昌鴻,2015/7/11,7.8,4,17.6,8,0,4
2,臺北,昌鴻,2015/7/10,7,4,19,8,91,2
2,臺北,蓮花,2015/7/9,6.7,4,12.7,6,22.2,4
2,臺北,蓮花,2015/7/8,7.7,4,17.2,8,0,4
2,臺北,蓮花,2015/7/7,5.7,4,13.1,6,0,4
2,臺北,紅霞,2015/5/11,3.3,2,8.8,5,0.9,4
2,臺北,鳳凰,2014/9/22,5.4,3,11.9,6,97.5,4
2,臺北,鳳凰,2014/9/21,9.3,5,18.6,8,67.5,2
2,臺北,鳳凰,2014/9/20,7,4,12.9,6,0,4
2,臺北,麥德姆,2014/7/23,11.3,6,26.5,10,45.5,3
2,臺北,麥德姆,2014/7/22,7.9,4,20.2,8,29.5,4
2,臺北,哈吉貝,2014/6/15,2.3,2,5.6,4,3.5,4
2,臺北,菲特,2013/10/7,4.3,3,8.2,5,0,4
